"id","turnout_code","education_years","age","income_k"
"P113",1,15,59,93.6
"P114",1,11,41,61.1
"P115",2,16,35,78.6
"P116",2,17,47,91
"P117",2,14,37,84.3
"P118",1,12,78,79.6
"P119",2,12,23,72.3
"P120",2,14,64,74.6
"P121",1,14,66,68.3
"P122",1,16,52,85.5
"P123",1,13,50,41.5
"P124",99,17,71,80.4
"P125",2,15,61,69
"P126",1,9,61,45.5
"P127",2,8,38,35.9
"P128",2,11,72,44.5
"P129",2,12,60,26.9
"P130",1,15,59,76.9
"P131",2,13,38,18.6
"P132",2,9,50,32.9
"P133",1,12,55,56.6
"P134",1,15,51,78.2
"P135",1,13,64,65.5
"P136",2,9,40,67
"P137",1,13,77,68.8
"P138",2,9,34,28.1
"P139",2,13,30,69
"P140",2,12,53,49.4
"P141",1,13,24,58.9
"P142",2,11,51,40.4
"P143",2,9,31,72.6
"P144",2,14,79,62
"P145",1,14,38,47.1
"P146",1,14,75,69
"P147",2,14,47,62.2
"P148",1,17,76,100.1
"P149",2,11,64,27.9
"P150",1,,41,32.4
"P151",1,18,70,85.4
"P152",1,16,73,58.7
"P153",2,12,64,69.8
"P154",2,13,30,62.1
"P155",2,17,60,101
"P156",1,16,18,85.8
"P157",2,13,43,40
"P158",1,13,33,63.2
"P159",1,15,78,88
"P160",1,15,31,75.7
"P161",1,14,39,75.5
"P162",2,19,44,78.6
"P163",1,12,68,40
"P164",2,15,52,57.4
"P165",2,13,50,42.5
"P166",2,10,63,56.7
"P167",1,14,78,65.7
"P168",99,12,34,
"P169",1,10,79,
"P170",2,13,20,52
"P171",2,12,32,38.2
"P172",1,15,75,81.1
"P173",2,15,25,68.9
"P174",2,13,21,62.3
"P175",1,17,30,62.7
"P176",2,,41,50.2
"P177",1,15,20,56.2
"P178",1,18,43,99
"P179",2,11,66,79.1
"P180",2,12,40,68.8
"P181",2,13,69,85.5
"P182",1,12,80,88.8
"P183",99,13,55,52.6
"P184",2,11,60,52.8
"P185",2,13,71,61.1
"P186",2,14,21,57
"P187",1,16,77,60.1
"P188",2,11,44,54.7
"P189",2,12,50,67.1
"P190",99,12,68,63.8
"P191",1,14,43,81.7
"P192",1,,18,54.8
"P193",1,17,39,59.1
"P194",1,14,74,81.1
"P195",2,14,30,48.9
"P196",2,12,61,82.8
"P197",1,11,33,58.5
"P198",1,11,32,45.9
"P199",2,11,46,69.1
"P200",1,17,31,108.8
"P201",2,17,43,76.4
"P202",2,9,67,42.3
"P203",2,12,27,38.6
"P204",1,16,72,62.1
"P205",1,13,73,64
"P206",2,11,73,
"P207",2,,56,40.6
"P208",2,16,45,76.4
"P209",1,12,29,42
"P210",1,15,79,62.4
"P211",1,13,38,42.8
"P212",1,11,70,
"P213",1,18,48,78.8
"P214",1,12,75,
"P215",1,16,80,64.6
"P216",1,15,55,38.9
"P217",1,12,79,71.2
"P218",2,13,78,
"P219",2,14,59,81
"P220",2,12,41,44.9
"P221",2,12,73,48.9
"P222",99,12,24,55.8
"P223",2,11,60,19
"P224",2,13,59,65.7
"P225",1,12,70,58.2
"P226",2,8,68,30.8
"P227",2,8,31,41.4
"P228",99,12,50,77.5
"P229",1,14,42,63.7
"P230",2,10,19,52.3
"P231",1,16,72,67.5
"P232",2,13,38,47.3
"P233",2,11,25,43.3
"P234",2,15,72,68.5
"P235",2,,35,73
"P236",2,8,42,28.3
"P237",2,15,43,62.3
"P238",99,19,20,86.1
"P239",1,14,55,72.4
"P240",2,15,48,85.1
"P241",2,11,40,71.6
"P242",2,10,61,48.6
"P243",99,14,67,76.4
"P244",2,10,22,42
"P245",1,13,59,86.4
"P246",2,13,45,56.8
"P247",1,18,70,94.1
"P248",1,10,33,49.6
"P249",2,9,52,51.5
"P250",2,13,20,32.3
"P251",2,14,20,45.6
"P252",99,12,26,58.9
"P253",1,14,55,37.5
"P254",1,15,26,46.9
"P255",2,13,34,44
"P256",1,20,46,95.6
"P257",2,18,63,68.5
"P258",1,16,56,78.7
"P259",1,9,42,66.5
"P260",2,12,71,88
"P261",2,11,60,63.2
"P262",1,,51,62.6
"P263",2,12,22,62.8
"P264",2,14,31,48.2
"P265",1,14,55,68.5
"P266",2,13,22,51.4
"P267",2,11,19,43.3
"P268",1,18,27,69.8
"P269",2,13,53,67
"P270",2,11,65,46.8
"P271",2,8,51,48.7
"P272",2,12,21,49.1
"P273",1,15,61,79.9
"P274",2,10,22,56.9
"P275",2,11,25,63.3
"P276",1,10,79,55.5
"P277",1,15,64,71.3
"P278",2,11,74,76.7
"P279",1,16,74,55.8
"P280",2,10,68,52.3
"P281",1,13,22,
"P282",1,17,54,104.3
"P283",2,14,36,73.8
"P284",2,10,48,63.2
"P285",2,11,78,34.6
"P286",1,15,42,
"P287",99,11,59,
"P288",2,14,52,71.5
"P289",2,11,24,36.5
"P290",1,14,21,65.9
"P291",2,13,20,61.4
"P292",1,12,28,60
"P293",1,12,64,56.6
"P294",1,14,61,52.9
"P295",1,15,41,63.3
"P296",1,15,51,62.3
"P297",1,18,54,102.2
"P298",1,12,37,
"P299",2,14,22,48.2
"P300",2,,22,63.1
"P301",2,13,46,56.4
"P302",2,14,61,61.2
"P303",2,14,75,85.2
"P304",2,14,35,50.2
"P305",2,11,44,65.1
"P306",99,14,43,55.2
"P307",2,17,26,67
"P308",1,13,67,70.3
"P309",2,14,42,62.9
"P310",2,12,21,72.4
"P311",1,14,45,76.7
"P312",1,16,80,87
"P313",2,12,70,55.6
"P314",1,14,73,53.2
"P315",2,15,41,69.4
"P316",1,12,55,74.5
"P317",1,17,74,102.5
"P318",2,14,69,52.3
"P319",99,14,66,59.6
"P320",1,12,64,84.7
"P321",2,15,28,71.4
"P322",1,11,28,29.5
"P323",1,9,56,55
"P324",2,15,73,72.9
"P325",1,17,71,83
"P326",2,14,24,55.7
"P327",2,17,69,78.5
"P328",2,10,27,28.2
"P329",2,11,20,60.3
"P330",2,13,18,55.5
"P331",2,16,30,76.8
"P332",2,14,45,66.4
"P333",2,12,71,73.3
"P334",2,15,55,78
"P335",2,9,37,30.1
"P336",1,15,68,86.1
"P337",2,13,29,62.8
"P338",1,14,50,67.4
"P339",2,12,78,64.3
"P340",2,8,22,42
"P341",2,10,60,
"P342",2,13,25,66.8
"P343",2,14,72,37.2
"P344",2,10,33,65.1
"P345",2,16,76,74.2
"P346",2,8,38,35.8
"P347",1,20,69,73.8
"P348",99,10,63,41.4
"P349",2,16,25,66.4
"P350",2,12,48,72.3
"P351",2,11,62,68.5
"P352",1,12,63,65.7
"P353",2,14,42,51
"P354",2,12,64,42.1
"P355",1,13,58,39.3
"P356",2,17,44,65.7
"P357",2,11,58,60.7
"P358",1,14,60,64
"P359",2,13,53,48.5
"P360",2,15,25,71.1
"P361",1,15,62,60.4
"P362",2,8,59,24.7
"P363",2,14,56,52.1
"P364",2,14,67,73.9
"P365",2,11,74,73.4
"P366",2,14,79,69
"P367",1,12,36,48
"P368",2,14,53,59.3
"P369",2,13,23,38.9
"P370",1,13,43,32.3
"P371",2,13,62,62.1
"P372",2,12,42,52.8
"P373",2,,42,47.1
"P374",1,11,58,52.1
"P375",1,18,52,78.1
"P376",1,15,25,61.4
"P377",2,12,74,66.8
"P378",1,10,66,71
"P379",1,15,40,75.8
"P380",2,13,23,70.4
"P381",2,10,60,50.9
"P382",1,16,66,87.4
"P383",2,13,20,71.1
"P384",1,11,49,85.8
"P385",1,16,39,51.5
"P386",2,13,73,47.8
"P387",2,12,64,55.1
"P388",1,,57,54.2
"P389",2,13,57,58.4
"P390",1,15,34,82.5
"P391",2,11,23,72.1
"P392",2,14,47,57.7
"P393",2,13,33,60.1
"P394",1,19,73,97
"P395",1,13,49,60.4
"P396",2,15,26,70.9
"P397",1,12,59,46.7
"P398",99,12,77,72.3
"P399",99,19,22,
"P400",2,,39,58.7
